dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
thermo-20y-qc,7,58,47,72.9332959,GAUSSIAN,Evolution,true,0.027276702385250318,0.07173547991184472,4.562048804068166,2.0,3.0,959179.911614356,0.8584965022812755,1.5,0.003,7.0,2989.0681386299884,5009,16.9,14.3,0.0,22102,2189622.0,true,1083259.875
thermo-20y-qc,7,59,47,72.9333128,GAUSSIAN,Evolution,true,0.03735787127941445,0.17199100747961088,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3698.828056096301,5743,16.7,13.8,0.0,25171,1642642.25,true,762649.53125
thermo-20y-qc,7,60,48,74.7173169,GAUSSIAN,Evolution,true,0.03735787127941445,0.17656784858191948,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3665.2063870352717,5743,16.7,13.8,1.749,25176,1645795.0,false,762665.96875
thermo-20y-qc,7,61,49,75.6395912,GAUSSIAN,Evolution,true,0.05749024831112985,0.013439752722949175,7.220911957041245,1.0,5.0,1067803.320938743,0.631604411088137,2.2726791763100103,0.001,5.0,1122.2567109144543,3388,18.9,11.2,0.89,13560,2852292.0,false,1267688.3125
thermo-20y-qc,7,62,50,77.1807197,GAUSSIAN,Evolution,true,0.03735787127941445,0.15550095139206915,3.0,2.0,3.0,849046.8500488099,0.97,1.5,0.003,7.0,3583.5478586473205,4767,15.7,11.5,1.51,21365,2074487.0,false,982412.46875
thermo-20y-qc,7,63,50,77.1808445,GAUSSIAN,Evolution,true,0.03735787127941445,0.17199100747961088,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3698.828056096301,5743,16.7,13.8,0.0,25171,1642642.25,true,762649.53125
thermo-20y-qc,7,64,50,77.1808661,GAUSSIAN,Evolution,true,0.027276702385250318,0.07173547991184472,4.562048804068166,2.0,3.0,959179.911614356,0.8584965022812755,1.5,0.003,7.0,2989.0681386299884,5009,16.9,14.3,0.0,22102,2189622.0,true,1083259.875
thermo-20y-qc,7,65,51,78.4086363,GAUSSIAN,Evolution,true,0.027276702385250318,0.07173547991184472,4.562048804068166,2.0,3.0,959179.911614356,0.8514328256219041,1.5,0.003,7.0,2990.7602222925043,5018,17.0,14.2,1.196,22133,2186367.875,false,1083058.75
thermo-20y-qc,7,66,51,78.408742,GAUSSIAN,Evolution,true,0.05749024831112985,0.018905460881734986,7.220911957041245,1.0,6.0,1067803.320938743,0.631604411088137,2.2726791763100103,0.001,5.0,924.7973874635843,2686,18.8,9.5,0.0,10641,3042172.0,true,1286312.4375
thermo-20y-qc,7,67,51,78.4087606,GAUSSIAN,Evolution,true,0.03735787127941445,0.17199100747961088,3.0,2.0,3.0,849046.8500488099,0.97,1.5,0.003,7.0,3553.6365299802947,4756,15.7,11.4,0.0,21314,2081649.6875,true,982178.28125
