dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10,TPE numerical fallback
thermo-20y-qc,42,59,58,156.9341639,SOBOL,Surrogate,true,0.042216853413489644,0.021548750596508574,3.0935241724641784,3.0,3.0,416005.36483449664,0.8251626486755622,1.515377032121057,0.005,15.0,4480.26295397014,10074,24.3,17.4,2.468,38714,972585.75,false,476537.65625,false
thermo-20y-qc,42,60,59,158.4888517,SOBOL,Surrogate,true,0.043370300547397794,0.04302914756217445,3.0916276067379584,3.0,11.0,393503.6292482733,0.8399767083567117,1.5255815361967373,0.005,15.0,974.9287843939006,3222,27.5,10.8,1.437,11739,1158278.125,false,480689.9375,false
thermo-20y-qc,42,61,60,163.7756243,SOBOL,Surrogate,true,0.0497972873697099,0.0037111057512550735,3.019297700517229,3.0,3.0,72119.24482719132,0.87261086781043,1.5430490336351907,0.005,15.0,3000.8291090579755,26567,39.3,25.2,4.977,76739,292610.09375,false,89592.54296875,false
thermo-20y-qc,42,62,61,166.565213,SOBOL,Surrogate,true,0.038556040730741835,0.008607768266832861,3.1073583914847265,4.0,3.0,426024.0423607431,0.7917374880449002,1.5013132142105872,0.008,15.0,4593.038399189463,10565,26.2,17.5,2.604,39480,974879.1875,false,486682.578125,false
thermo-20y-qc,42,63,62,168.9865919,SOBOL,Surrogate,true,0.03949518536605294,0.005751775607022228,3.3664529038403628,4.0,3.0,497804.9523319492,0.7649879812442852,1.5153048472744373,0.008,15.0,3827.8578639895636,9548,27.3,17.1,2.259,35262,1106837.4375,false,571885.78125,false
thermo-20y-qc,42,64,63,171.6233924,SOBOL,Surrogate,true,0.04065599763644304,0.018820515711255606,3.2159880301324053,3.0,3.0,409389.4782827781,0.8313806516457337,1.5564946731906288,0.005,15.0,4184.6278758974895,9971,24.7,17.7,2.463,38162,981094.625,false,470250.40625,false
thermo-20y-qc,42,65,64,174.5447547,SOBOL,Surrogate,true,0.033781699847866074,0.02139342686221046,3.0478522333781743,2.0,3.0,346130.92088688025,0.8567236434586321,1.5532887356456502,0.003,7.0,4830.309544627455,11154,25.2,18.6,2.735,42317,855189.40625,false,405297.328125,false
thermo-20y-qc,42,66,65,177.2529553,SOBOL,Surrogate,true,0.03373260209083075,0.01935538164453284,3.268921068497156,2.0,3.0,353252.1674009943,0.9030580678889857,1.5584286433074006,0.003,7.0,4541.797852906584,10255,23.6,20.1,2.55,39961,904388.375,false,417545.40625,false
thermo-20y-qc,42,67,66,179.7129057,SOBOL,Surrogate,true,0.03214669515020581,0.014710160533390014,3.9098280309937294,2.0,3.0,336376.1687351363,0.9321181955043152,1.5521478672960802,0.003,7.0,3765.03107837268,9847,22.8,22.8,2.308,38419,921790.125,false,403630.140625,false
thermo-20y-qc,42,68,67,182.7618841,SOBOL,Surrogate,true,0.033781699847866074,0.02139342686221046,3.0478522333781743,2.0,3.0,346130.92088688025,0.8567236434586321,1.5,0.003,7.0,4906.777840664689,11717,25.6,19.2,2.863,44171,831447.25,false,402403.9375,false
thermo-20y-qc,42,69,68,186.1277847,SOBOL,Surrogate,true,0.036248891758720404,0.04449401409261074,3.04313014237676,2.0,3.0,253492.81211485996,0.8526276826883175,1.5260859422466513,0.003,7.0,4949.359881828048,13141,23.9,20.4,3.157,49758,679382.6875,false,304273.625,false
thermo-20y-qc,42,70,69,189.6408746,SOBOL,Surrogate,true,0.040056622772176635,0.05783046212923633,3.401397403774877,2.0,3.0,190679.15770808054,0.8449521743709432,1.513628466688388,0.003,7.0,4237.537400329073,14971,24.4,22.8,3.299,55307,566202.375,false,231042.21875,false
thermo-20y-qc,42,71,70,193.6381695,SOBOL,Surrogate,true,0.03912798562155297,0.04707490118097687,3.50931205852907,2.0,3.0,129844.6666232359,0.8470492279837039,1.5000300308058014,0.003,7.0,3865.085019241766,18631,28.1,24.7,3.759,64703,431664.0625,false,161368.765625,false
thermo-20y-qc,42,72,71,196.6209896,SOBOL,Surrogate,true,0.031796322789661165,0.07191821664235869,3.355794056799877,2.0,3.0,305871.899638679,0.8613692638272323,1.565459500787452,0.003,7.0,4393.150851637587,10987,21.8,20.2,2.799,43387,830007.75,false,367240.234375,false
thermo-20y-qc,42,73,72,199.2303076,SOBOL,Surrogate,true,0.0283058856490151,0.17336666811335655,3.0969794999819062,2.0,3.0,414067.60911247344,0.8767761153033096,1.5791139322180816,0.003,7.0,4051.186534696541,8920,19.7,17.1,2.442,36776,1074651.8125,false,485843.859375,false
thermo-20y-qc,42,74,73,202.2876033,SOBOL,Surrogate,true,0.030116470597111346,0.01921180516611884,3.274631362424267,2.0,3.0,297968.73617592256,0.8470596509208358,1.5549401491048342,0.003,7.0,4407.755629006854,12291,27.2,19.9,2.861,45079,769707.4375,false,354230.75,false
thermo-20y-qc,42,75,74,205.5721703,SOBOL,Surrogate,true,0.026754899304818718,0.012493262258553834,3.067073296809778,2.0,3.0,275216.0071022146,0.852235307619081,1.552662174484836,0.003,7.0,4631.095983436853,13415,28.4,20.0,3.069,48300,713092.5625,false,328214.6875,false
thermo-20y-qc,42,76,75,209.5694522,SOBOL,Surrogate,true,0.019307329063634866,0.005087122030997251,3.028803778328354,2.0,3.0,204385.13881794113,0.8329910841158885,1.5538049361862039,0.003,7.0,3726.2385879163025,18016,36.7,21.2,3.734,56059,568366.46875,false,245034.0546875,false
thermo-20y-qc,42,77,76,212.5639993,SOBOL,Surrogate,true,0.027656449663077575,0.019726862534403804,3.0920154714843955,2.0,3.0,368323.96020957496,0.8572416457582024,1.5172957972807617,0.003,7.0,4810.202556376818,11280,26.1,18.8,2.805,42482,876746.71875,false,424876.0,false
thermo-20y-qc,42,78,77,215.5709832,SOBOL,Surrogate,true,0.026874029506356745,0.020341516624324082,3.1524753823160543,2.0,3.0,327943.8692480744,0.8421946753009741,1.53800693566166,0.003,7.0,4621.580447475153,12104,26.6,19.6,2.804,44874,808109.78125,false,382786.96875,false
thermo-20y-qc,42,79,78,217.9144262,SOBOL,Surrogate,true,0.02216246094509472,0.013797524173895293,3.2763555767036476,2.0,3.0,494326.21699166455,0.8514680662884524,1.5745921961263663,0.003,7.0,4323.1847898988135,8864,25.4,17.0,2.165,34293,1148929.4375,false,571689.5,false
thermo-20y-qc,42,80,79,221.1980358,SOBOL,Surrogate,true,0.028099117736551302,0.013099750513197016,3.021251020242342,2.0,3.0,296270.21952293534,0.8496864819637395,1.5240402710345122,0.003,7.0,4706.432124461264,13101,28.0,19.8,3.054,47565,739343.625,false,348750.40625,false
thermo-20y-qc,42,81,80,223.8919823,SOBOL,Surrogate,true,0.04460693248160836,0.013843719102934507,3.2522602974212695,2.0,3.0,375866.54702340416,0.8839317226459616,1.5863763484999078,0.003,7.0,4218.455147257498,9570,23.7,19.0,2.514,37010,953788.625,false,441370.5625,false
