dataset,distribution,value
thermo-20y-qc,edgeIntensities,15959.4423828125
thermo-20y-qc,edgeIntensities,15962.740234375
thermo-20y-qc,edgeIntensities,15989.3779296875
thermo-20y-qc,edgeIntensities,16064.4130859375
thermo-20y-qc,edgeIntensities,16065.6640625
thermo-20y-qc,edgeIntensities,16075.337890625
thermo-20y-qc,edgeIntensities,16101.4931640625
thermo-20y-qc,edgeIntensities,16107.6865234375
thermo-20y-qc,edgeIntensities,16113.7626953125
thermo-20y-qc,edgeIntensities,16119.78515625
thermo-20y-qc,edgeIntensities,16125.5390625
thermo-20y-qc,edgeIntensities,16133.708984375
thermo-20y-qc,edgeIntensities,16145.1806640625
thermo-20y-qc,edgeIntensities,16211.38671875
thermo-20y-qc,edgeIntensities,16307.1328125
thermo-20y-qc,edgeIntensities,16311.4150390625
thermo-20y-qc,edgeIntensities,16323.822265625
thermo-20y-qc,edgeIntensities,16329.1259765625
thermo-20y-qc,edgeIntensities,16396.0625
thermo-20y-qc,edgeIntensities,16431.8125
thermo-20y-qc,edgeIntensities,16454.521484375
thermo-20y-qc,edgeIntensities,16487.8984375
thermo-20y-qc,edgeIntensities,16511.44140625
thermo-20y-qc,edgeIntensities,16547.03125
thermo-20y-qc,edgeIntensities,16620.12109375
thermo-20y-qc,edgeIntensities,16668.400390625
thermo-20y-qc,edgeIntensities,16679.064453125
thermo-20y-qc,edgeIntensities,16689.986328125
thermo-20y-qc,edgeIntensities,16694.556640625
thermo-20y-qc,edgeIntensities,16732.65234375
thermo-20y-qc,edgeIntensities,16769.625
thermo-20y-qc,edgeIntensities,16776.619140625
thermo-20y-qc,edgeIntensities,16929.94921875
thermo-20y-qc,edgeIntensities,16934.626953125
thermo-20y-qc,edgeIntensities,16986.314453125
thermo-20y-qc,edgeIntensities,17028.5234375
thermo-20y-qc,edgeIntensities,17047.525390625
thermo-20y-qc,edgeIntensities,17082.896484375
thermo-20y-qc,edgeIntensities,17211.228515625
thermo-20y-qc,edgeIntensities,17326.814453125
thermo-20y-qc,edgeIntensities,17445.60546875
thermo-20y-qc,edgeIntensities,17458.42578125
thermo-20y-qc,edgeIntensities,17502.17578125
thermo-20y-qc,edgeIntensities,17745.287109375
thermo-20y-qc,edgeIntensities,17766.2890625
thermo-20y-qc,edgeIntensities,17842.1015625
thermo-20y-qc,edgeIntensities,17861.1484375
thermo-20y-qc,edgeIntensities,18019.712890625
thermo-20y-qc,edgeIntensities,18024.4921875
thermo-20y-qc,edgeIntensities,18221.54296875
thermo-20y-qc,edgeIntensities,18280.6953125
thermo-20y-qc,edgeIntensities,18280.6953125
thermo-20y-qc,edgeIntensities,18314.138671875
thermo-20y-qc,edgeIntensities,18407.623046875
thermo-20y-qc,edgeIntensities,18466.37109375
thermo-20y-qc,edgeIntensities,18578.1328125
thermo-20y-qc,edgeIntensities,18597.884765625
thermo-20y-qc,edgeIntensities,18824.255859375
thermo-20y-qc,edgeIntensities,18941.744140625
thermo-20y-qc,edgeIntensities,18968.6796875
thermo-20y-qc,edgeIntensities,19030.84765625
thermo-20y-qc,edgeIntensities,19125.646484375
thermo-20y-qc,edgeIntensities,19381.875
thermo-20y-qc,edgeIntensities,19444.076171875
thermo-20y-qc,edgeIntensities,19462.830078125
thermo-20y-qc,edgeIntensities,19587.34765625
thermo-20y-qc,edgeIntensities,19734.341796875
thermo-20y-qc,edgeIntensities,19834.525390625
thermo-20y-qc,edgeIntensities,19838.232421875
thermo-20y-qc,edgeIntensities,19914.841796875
thermo-20y-qc,edgeIntensities,19928.935546875
thermo-20y-qc,edgeIntensities,19995.95703125
thermo-20y-qc,edgeIntensities,20196.30078125
thermo-20y-qc,edgeIntensities,20220.443359375
thermo-20y-qc,edgeIntensities,20394.30078125
thermo-20y-qc,edgeIntensities,20450.3671875
thermo-20y-qc,edgeIntensities,20460.720703125
thermo-20y-qc,edgeIntensities,20534.7734375
thermo-20y-qc,edgeIntensities,20567.51953125
thermo-20y-qc,edgeIntensities,20767.986328125
thermo-20y-qc,edgeIntensities,20788.314453125
thermo-20y-qc,edgeIntensities,20791.54296875
thermo-20y-qc,edgeIntensities,20904.189453125
thermo-20y-qc,edgeIntensities,20910.443359375
thermo-20y-qc,edgeIntensities,20973.642578125
thermo-20y-qc,edgeIntensities,21073.14453125
thermo-20y-qc,edgeIntensities,21093.357421875
thermo-20y-qc,edgeIntensities,21116.7109375
thermo-20y-qc,edgeIntensities,21183.044921875
thermo-20y-qc,edgeIntensities,21213.171875
thermo-20y-qc,edgeIntensities,21240.06640625
thermo-20y-qc,edgeIntensities,21240.47265625
thermo-20y-qc,edgeIntensities,21422.248046875
thermo-20y-qc,edgeIntensities,21550.40625
thermo-20y-qc,edgeIntensities,21586.619140625
thermo-20y-qc,edgeIntensities,21807.052734375
thermo-20y-qc,edgeIntensities,22024.439453125
thermo-20y-qc,edgeIntensities,22098.451171875
thermo-20y-qc,edgeIntensities,22149.447265625
thermo-20y-qc,edgeIntensities,22336.75
thermo-20y-qc,edgeIntensities,22353.3984375
thermo-20y-qc,edgeIntensities,22465.080078125
thermo-20y-qc,edgeIntensities,22476.28125
thermo-20y-qc,edgeIntensities,22497.1953125
thermo-20y-qc,edgeIntensities,22525.15625
thermo-20y-qc,edgeIntensities,22631.849609375
thermo-20y-qc,edgeIntensities,22755.6953125
thermo-20y-qc,edgeIntensities,22889.765625
thermo-20y-qc,edgeIntensities,22948.099609375
thermo-20y-qc,edgeIntensities,22984.21875
thermo-20y-qc,edgeIntensities,23176.8671875
thermo-20y-qc,edgeIntensities,23179.970703125
thermo-20y-qc,edgeIntensities,23239.484375
thermo-20y-qc,edgeIntensities,23350.6796875
thermo-20y-qc,edgeIntensities,23356.830078125
thermo-20y-qc,edgeIntensities,23400.59375
thermo-20y-qc,edgeIntensities,23437.76171875
thermo-20y-qc,edgeIntensities,23609.130859375
thermo-20y-qc,edgeIntensities,23628.08203125
thermo-20y-qc,edgeIntensities,23695.35546875
thermo-20y-qc,edgeIntensities,23797.33203125
thermo-20y-qc,edgeIntensities,23800.865234375
thermo-20y-qc,edgeIntensities,23900.697265625
thermo-20y-qc,edgeIntensities,24084.8828125
thermo-20y-qc,edgeIntensities,24130.806640625
thermo-20y-qc,edgeIntensities,24220.365234375
thermo-20y-qc,edgeIntensities,24334.029296875
thermo-20y-qc,edgeIntensities,24591.10546875
thermo-20y-qc,edgeIntensities,24673.12109375
thermo-20y-qc,edgeIntensities,24878.470703125
thermo-20y-qc,edgeIntensities,24904.98828125
thermo-20y-qc,edgeIntensities,24975.341796875
thermo-20y-qc,edgeIntensities,24991.263671875
thermo-20y-qc,edgeIntensities,25121.15625
thermo-20y-qc,edgeIntensities,25170.68359375
thermo-20y-qc,edgeIntensities,25355.923828125
thermo-20y-qc,edgeIntensities,25402.009765625
thermo-20y-qc,edgeIntensities,25461.3359375
thermo-20y-qc,edgeIntensities,25562.193359375
thermo-20y-qc,edgeIntensities,25573.009765625
thermo-20y-qc,edgeIntensities,25795.435546875
thermo-20y-qc,edgeIntensities,25934.294921875
thermo-20y-qc,edgeIntensities,25938.416015625
thermo-20y-qc,edgeIntensities,25987.275390625
thermo-20y-qc,edgeIntensities,26220.04296875
thermo-20y-qc,edgeIntensities,26246.7578125
thermo-20y-qc,edgeIntensities,26449.857421875
thermo-20y-qc,edgeIntensities,26532.4375
thermo-20y-qc,edgeIntensities,26583.1484375
thermo-20y-qc,edgeIntensities,26598.0703125
thermo-20y-qc,edgeIntensities,26689.36328125
thermo-20y-qc,edgeIntensities,26755.419921875
thermo-20y-qc,edgeIntensities,26795.3984375
thermo-20y-qc,edgeIntensities,26805.478515625
thermo-20y-qc,edgeIntensities,26851.7734375
thermo-20y-qc,edgeIntensities,26987.689453125
thermo-20y-qc,edgeIntensities,27085.099609375
thermo-20y-qc,edgeIntensities,27167.27734375
thermo-20y-qc,edgeIntensities,27239.154296875
thermo-20y-qc,edgeIntensities,27264.861328125
thermo-20y-qc,edgeIntensities,27362.212890625
thermo-20y-qc,edgeIntensities,27421.251953125
thermo-20y-qc,edgeIntensities,27435.517578125
thermo-20y-qc,edgeIntensities,27692.583984375
thermo-20y-qc,edgeIntensities,27700.791015625
thermo-20y-qc,edgeIntensities,27867.607421875
thermo-20y-qc,edgeIntensities,27953.701171875
thermo-20y-qc,edgeIntensities,28054.68359375
thermo-20y-qc,edgeIntensities,28057.41796875
thermo-20y-qc,edgeIntensities,28136.744140625
thermo-20y-qc,edgeIntensities,28216.142578125
thermo-20y-qc,edgeIntensities,28356.0703125
thermo-20y-qc,edgeIntensities,28365.099609375
thermo-20y-qc,edgeIntensities,28539.021484375
thermo-20y-qc,edgeIntensities,28629.763671875
thermo-20y-qc,edgeIntensities,28729.5703125
thermo-20y-qc,edgeIntensities,28961.109375
thermo-20y-qc,edgeIntensities,28980.17578125
thermo-20y-qc,edgeIntensities,29001.669921875
thermo-20y-qc,edgeIntensities,29080.05859375
thermo-20y-qc,edgeIntensities,29231.609375
thermo-20y-qc,edgeIntensities,29408.3515625
thermo-20y-qc,edgeIntensities,29535.509765625
thermo-20y-qc,edgeIntensities,29595.736328125
thermo-20y-qc,edgeIntensities,29696.748046875
thermo-20y-qc,edgeIntensities,29745.794921875
thermo-20y-qc,edgeIntensities,29886.8515625
thermo-20y-qc,edgeIntensities,29911.724609375
thermo-20y-qc,edgeIntensities,29965.505859375
thermo-20y-qc,edgeIntensities,30064.15625
thermo-20y-qc,edgeIntensities,30111.302734375
thermo-20y-qc,edgeIntensities,30140.0703125
thermo-20y-qc,edgeIntensities,30294.90625
thermo-20y-qc,edgeIntensities,30793.623046875
thermo-20y-qc,edgeIntensities,30798.255859375
thermo-20y-qc,edgeIntensities,30834.40234375
thermo-20y-qc,edgeIntensities,30926.19921875
thermo-20y-qc,edgeIntensities,30934.38671875
thermo-20y-qc,edgeIntensities,30967.76171875
thermo-20y-qc,edgeIntensities,30976.419921875
thermo-20y-qc,edgeIntensities,31023.794921875
thermo-20y-qc,edgeIntensities,31207.32421875
thermo-20y-qc,edgeIntensities,31259.322265625
thermo-20y-qc,edgeIntensities,31262.5078125
thermo-20y-qc,edgeIntensities,31469.22265625
thermo-20y-qc,edgeIntensities,31474.857421875
thermo-20y-qc,edgeIntensities,31709.373046875
thermo-20y-qc,edgeIntensities,31717.859375
thermo-20y-qc,edgeIntensities,31745.298828125
thermo-20y-qc,edgeIntensities,31748.919921875
thermo-20y-qc,edgeIntensities,31913.091796875
thermo-20y-qc,edgeIntensities,32074.83203125
thermo-20y-qc,edgeIntensities,32105.017578125
thermo-20y-qc,edgeIntensities,32114.205078125
thermo-20y-qc,edgeIntensities,32340.34375
thermo-20y-qc,edgeIntensities,32358.0859375
thermo-20y-qc,edgeIntensities,32394.85546875
thermo-20y-qc,edgeIntensities,32513.6015625
thermo-20y-qc,edgeIntensities,32600.291015625
thermo-20y-qc,edgeIntensities,32609.134765625
thermo-20y-qc,edgeIntensities,32611.279296875
thermo-20y-qc,edgeIntensities,32678.17578125
thermo-20y-qc,edgeIntensities,32727.412109375
thermo-20y-qc,edgeIntensities,32730.658203125
thermo-20y-qc,edgeIntensities,32763.583984375
thermo-20y-qc,edgeIntensities,32851.5078125
thermo-20y-qc,edgeIntensities,33027.80859375
thermo-20y-qc,edgeIntensities,33038.57421875
thermo-20y-qc,edgeIntensities,33038.57421875
thermo-20y-qc,edgeIntensities,33264.640625
thermo-20y-qc,edgeIntensities,33458.8671875
thermo-20y-qc,edgeIntensities,33513.3359375
thermo-20y-qc,edgeIntensities,33567.0546875
thermo-20y-qc,edgeIntensities,33573.89453125
thermo-20y-qc,edgeIntensities,33579.03515625
thermo-20y-qc,edgeIntensities,33924.6640625
thermo-20y-qc,edgeIntensities,33963.18359375
thermo-20y-qc,edgeIntensities,34076.8828125
thermo-20y-qc,edgeIntensities,34123.33984375
thermo-20y-qc,edgeIntensities,34125.62109375
thermo-20y-qc,edgeIntensities,34167.078125
thermo-20y-qc,edgeIntensities,34190.57421875
thermo-20y-qc,edgeIntensities,34334.90234375
thermo-20y-qc,edgeIntensities,34353.04296875
thermo-20y-qc,edgeIntensities,34430.23828125
thermo-20y-qc,edgeIntensities,34430.23828125
thermo-20y-qc,edgeIntensities,34492.87109375
thermo-20y-qc,edgeIntensities,34539.30078125
thermo-20y-qc,edgeIntensities,34715.1953125
thermo-20y-qc,edgeIntensities,34816.65625
thermo-20y-qc,edgeIntensities,34867.29296875
thermo-20y-qc,edgeIntensities,34956.875
thermo-20y-qc,edgeIntensities,35086.65625
thermo-20y-qc,edgeIntensities,35169.44921875
thermo-20y-qc,edgeIntensities,35237.58984375
thermo-20y-qc,edgeIntensities,35243.5078125
thermo-20y-qc,edgeIntensities,35244.31640625
thermo-20y-qc,edgeIntensities,35304.265625
thermo-20y-qc,edgeIntensities,35397.05859375
thermo-20y-qc,edgeIntensities,35397.55078125
thermo-20y-qc,edgeIntensities,35514.921875
thermo-20y-qc,edgeIntensities,35704.21875
thermo-20y-qc,edgeIntensities,35851.82421875
thermo-20y-qc,edgeIntensities,35857.48828125
thermo-20y-qc,edgeIntensities,35928.00390625
thermo-20y-qc,edgeIntensities,36149.17578125
thermo-20y-qc,edgeIntensities,36181.96875
thermo-20y-qc,edgeIntensities,36215.4296875
thermo-20y-qc,edgeIntensities,36239.6796875
thermo-20y-qc,edgeIntensities,36278.34375
thermo-20y-qc,edgeIntensities,36343.40625
thermo-20y-qc,edgeIntensities,36426.828125
thermo-20y-qc,edgeIntensities,36497.0234375
thermo-20y-qc,edgeIntensities,36633.5
thermo-20y-qc,edgeIntensities,36751.8984375
thermo-20y-qc,edgeIntensities,36840.33203125
thermo-20y-qc,edgeIntensities,36849.4609375
thermo-20y-qc,edgeIntensities,37014.0625
thermo-20y-qc,edgeIntensities,37058.7578125
thermo-20y-qc,edgeIntensities,37065.37109375
thermo-20y-qc,edgeIntensities,37104.54296875
thermo-20y-qc,edgeIntensities,37186.46484375
thermo-20y-qc,edgeIntensities,37269.1875
thermo-20y-qc,edgeIntensities,37277.4296875
thermo-20y-qc,edgeIntensities,37331.0703125
thermo-20y-qc,edgeIntensities,37401.67578125
thermo-20y-qc,edgeIntensities,37452.55859375
thermo-20y-qc,edgeIntensities,37594.26171875
thermo-20y-qc,edgeIntensities,37611.6875
thermo-20y-qc,edgeIntensities,37612.58203125
thermo-20y-qc,edgeIntensities,37658.984375
thermo-20y-qc,edgeIntensities,37709.53515625
thermo-20y-qc,edgeIntensities,37710.4609375
thermo-20y-qc,edgeIntensities,37800.4140625
thermo-20y-qc,edgeIntensities,37850.78125
thermo-20y-qc,edgeIntensities,37913.51171875
thermo-20y-qc,edgeIntensities,37974.54296875
thermo-20y-qc,edgeIntensities,38057.078125
thermo-20y-qc,edgeIntensities,38135.8046875
thermo-20y-qc,edgeIntensities,38308.71484375
thermo-20y-qc,edgeIntensities,38419.875
thermo-20y-qc,edgeIntensities,38472.828125
thermo-20y-qc,edgeIntensities,38553.25390625
thermo-20y-qc,edgeIntensities,38561.2109375
thermo-20y-qc,edgeIntensities,38571.52734375
