dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Origin,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
thermo-20y-qc,42,72,62,107.3932637,GAUSSIAN,Evolution,true,0.020779203465686652,0.05879221657220782,3.5038694580632668,2.0,3.0,916255.7746182769,0.6708704903821182,1.637841740186916,0.003,7.0,3382.58733007313,Evolution,5139,17.1,11.8,1.465,22289,2087978.75,false,1036103.5
thermo-20y-qc,42,73,62,107.3934429,GAUSSIAN,Evolution,true,0.02157636002818026,0.05833036745794067,3.6628274950305846,2.0,5.0,956848.9010252446,0.7086635828709362,1.9109676780492442,0.003,7.0,2845.1794789835385,Evolution,4315,16.5,10.1,0.0,18771,2406776.5,true,1120864.125
thermo-20y-qc,42,74,63,110.0729023,GAUSSIAN,Evolution,true,0.023249109805244778,0.008803291303868444,3.0,3.0,3.0,369336.25315625797,0.915067331305756,1.5,0.005,15.0,4587.242839674552,Evolution,11199,26.0,19.8,2.598,42526,885441.1875,false,426255.671875
thermo-20y-qc,42,75,64,111.8148358,GAUSSIAN,Evolution,true,0.0226430436011362,0.03802659879563827,3.0,2.0,6.0,482065.45749843563,0.7538401578212417,2.2049579033356785,0.003,7.0,2897.6036713372064,Evolution,5106,19.5,11.5,1.715,20483,1461196.8125,false,589634.625
thermo-20y-qc,42,76,64,111.8149681,GAUSSIAN,Evolution,true,0.023249109805244778,0.010955104540930318,3.0,3.0,3.0,369336.25315625797,0.915067331305756,1.5,0.005,15.0,4695.601773032968,Evolution,11058,24.9,19.8,0.0,42526,888566.65625,true,426501.046875
thermo-20y-qc,42,77,65,114.4200168,GAUSSIAN,Evolution,true,0.03395144403264936,0.012965671469463457,3.0,3.0,3.0,369336.25315625797,0.915067331305756,1.5,0.005,15.0,5025.78912087648,Evolution,10587,23.2,19.6,2.518,41621,899309.3125,false,426979.25
thermo-20y-qc,42,78,65,114.4201418,GAUSSIAN,Evolution,true,0.020779203465686652,0.05879221657220782,3.5038694580632668,2.0,3.0,916255.7746182769,0.6708704903821182,1.637841740186916,0.003,7.0,3382.58733007313,Evolution,5139,17.1,11.8,0.0,22289,2087978.75,true,1036103.5
thermo-20y-qc,42,79,66,115.8382778,GAUSSIAN,Evolution,true,0.029927673764644013,0.04399781116440622,3.125237763495582,2.0,3.0,1009573.1944691526,0.6708704903821182,1.646488722812628,0.003,7.0,3782.345049313479,Evolution,4745,17.2,9.8,1.383,20684,2254089.25,false,1134211.625
thermo-20y-qc,42,80,67,120.115881,GAUSSIAN,Evolution,true,0.02330840213219885,0.015258731015054067,3.0,3.0,3.0,95876.49242524855,0.915067331305756,1.5,0.005,15.0,4635.2114602488555,Evolution,22396,33.0,25.9,4.114,74501,355062.515625,false,120778.015625
thermo-20y-qc,42,81,68,122.4985253,GAUSSIAN,Evolution,true,0.01729187648743391,0.036880069022842965,3.0,2.0,6.0,216005.49332793558,0.8100810724391962,2.2049579033356785,0.003,7.0,3220.7950283471437,Evolution,7401,24.0,14.2,2.335,27516,867802.4375,false,285774.28125
